merchant_name,merchant_category,amount,is_recurring,user_balance_pre,hour,day_of_week,label_category_enc,label_urgency_enc
28,3,48698,0,36548,3,0,0,0
35,13,44448,1,97580,19,6,0,0
15,11,2052,0,12780,22,5,0,0
25,15,13131,1,94350,13,4,2,2
19,0,38718,0,36963,7,3,1,1
34,11,18310,0,20879,19,5,0,0
28,3,24998,0,13176,8,5,0,0
1,7,47923,0,60717,9,6,1,1
10,5,36278,0,38927,14,3,1,1
14,8,3103,1,87173,8,6,2,2
31,1,6719,0,50323,15,1,0,0
12,14,24360,0,47066,12,5,0,0
31,1,35105,0,96068,3,0,0,0
16,4,17791,0,84386,7,6,2,2
3,2,15110,0,4707,8,3,1,1
1,7,13926,0,74841,16,0,1,1
9,8,26028,0,84759,21,2,2,2
1,7,16262,0,98147,13,0,1,1
34,11,23823,0,29246,7,2,0,0
31,1,7285,0,20533,13,3,0,0
15,11,25316,0,50519,2,2,0,0
1,7,44683,0,94966,5,1,1,1
3,2,19334,0,57485,4,3,1,1
25,15,47264,1,35022,18,4,2,2
11,3,41974,0,67040,17,2,0,0
24,13,10687,1,71197,3,6,0,0
33,2,1376,0,15162,12,5,1,1
32,0,15885,0,74864,14,6,1,1
30,9,49946,0,70322,17,1,0,0
30,9,17470,0,69663,14,2,0,0
14,8,46823,0,41357,3,0,2,2
16,4,8030,0,32993,5,6,2,2
3,2,38655,0,73103,11,6,1,1
26,15,46489,1,83219,16,5,2,2
31,1,21754,0,9787,9,5,0,0
7,7,14140,0,71178,0,2,1,1
19,0,26777,0,25457,7,0,1,1
34,11,27859,0,54383,6,3,0,0
28,3,26486,0,95948,10,4,0,0
32,0,12565,0,70792,10,2,1,1
15,11,18354,0,61137,8,0,0,0
4,4,3415,1,85977,14,6,2,2
31,1,10999,0,53769,2,4,0,0
9,8,3942,1,22079,5,6,2,2
13,5,29919,0,37888,6,1,1,1
35,13,19545,1,29034,15,5,0,0
3,2,3386,0,77069,16,3,1,1
22,6,5350,0,24856,2,6,1,1
19,0,7956,0,75168,4,0,1,1
29,1,43181,0,77003,17,0,0,0
1,7,43991,0,94372,7,3,1,1
7,7,8677,0,88539,9,4,1,1
16,4,49374,0,10008,10,3,2,2
28,3,35334,0,28438,0,5,0,0
24,13,4608,1,32518,19,5,0,0
23,10,35700,1,92714,18,2,2,2
0,12,8900,0,35164,6,1,0,0
24,13,18565,1,79776,14,5,0,0
9,8,33222,0,64532,10,0,2,2
29,1,18232,0,6278,3,3,0,0
24,13,10689,1,97654,2,2,0,0
26,15,5031,1,91073,18,2,2,2
12,14,28266,0,17204,21,4,0,0
12,14,23549,0,28035,0,6,0,0
11,3,36792,0,53764,5,3,0,0
32,0,11703,0,54540,3,4,1,1
33,2,44003,0,96845,7,0,1,1
8,10,25170,1,5575,10,3,2,2
9,8,23015,0,40501,8,6,2,2
25,15,12756,1,52727,22,3,2,2
29,1,23112,0,84580,4,5,0,0
3,2,7659,0,34737,3,4,1,1
21,6,39196,0,57459,17,4,1,1
15,11,25344,0,76074,15,4,0,0
22,6,28677,0,721,15,5,1,1
17,14,4685,0,87562,0,4,0,0
11,3,33334,0,41038,8,5,0,0
33,2,45792,0,39252,5,0,1,1
9,8,43676,1,50195,19,5,2,2
6,12,36009,0,553,19,2,0,0
9,8,38109,1,80016,19,4,2,2
16,4,29077,1,89055,17,5,2,2
