transaction_id,timestamp,merchant_name,Unnamed: 3,merchant_category,amount,payment_mode,is_recurring,user_balance_pre,label_category,label_urgency
TXN0001,2026-01-12 03:29:00,UPI-PVR@PAYTM,,Entertainment,48698,Debit Card,False,36548,Yellow,Discretionary
TXN0002,2026-01-25 19:41:00,VPA-Netflix@PAYTM,,Subscriptions,44448,UPI,True,97580,Yellow,Discretionary
TXN0003,2026-01-10 22:48:00,Lakme Salon,,Personal_Care,2052,Debit Card,False,12780,Yellow,Discretionary
TXN0004,2026-01-30 13:50:00,TATA POWER,,Utilities,13131,Net Banking,True,94350,Red,Critical
TXN0005,2026-01-01 07:05:00,Ola,,Commuting,38718,Debit Card,False,36963,Orange,Necessary
TXN0006,2026-01-10 19:10:00,Urban Company,,Personal_Care,18310,Credit Card,False,20879,Yellow,Discretionary
TXN0007,2026-01-17 08:06:00,UPI-PVR@PAYTM,,Entertainment,24998,Credit Card,False,13176,Yellow,Discretionary
TXN0008,2026-01-25 09:42:00,Apollo Pharmacy,,Healthcare,47923,UPI,False,60717,Orange,Necessary
TXN0009,2026-01-29 14:38:00,HP Petrol Pump,,Fuel,36278,Credit Card,False,38927,Orange,Necessary
TXN0010,2026-01-11 08:55:00,LIC Premium Payment,,Insurance,3103,Credit Card,True,87173,Red,Critical
TXN0011,2026-01-13 15:37:00,UPI-ZOMATO-PAYMENTS@HDFC,,Dining,6719,Net Banking,False,50323,Yellow,Discretionary
TXN0012,2026-01-10 12:50:00,IRCTC,,Travel,24360,Credit Card,False,47066,Yellow,Discretionary
TXN0013,2026-01-12 03:23:00,UPI-ZOMATO-PAYMENTS@HDFC,,Dining,35105,Debit Card,False,96068,Yellow,Discretionary
TXN0014,2026-02-01 07:39:00,Loan EMI,,Financial,17791,Debit Card,False,84386,Red,Critical
TXN0015,2026-01-15 08:33:00,Coursera,,Education,15110,Net Banking,False,4707,Orange,Necessary
TXN0016,2026-02-02 16:09:00,Apollo Pharmacy,,Healthcare,13926,Credit Card,False,74841,Orange,Necessary
TXN0017,2026-01-21 21:11:00,HDFC Life,,Insurance,26028,Debit Card,False,84759,Red,Critical
TXN0018,2026-01-26 13:09:00,Apollo Pharmacy,,Healthcare,16262,Credit Card,False,98147,Orange,Necessary
TXN0019,2026-01-07 07:05:00,Urban Company,,Personal_Care,23823,Net Banking,False,29246,Yellow,Discretionary
TXN0020,2026-01-29 13:20:00,UPI-ZOMATO-PAYMENTS@HDFC,,Dining,7285,Debit Card,False,20533,Yellow,Discretionary
TXN0021,2026-01-28 02:52:00,Lakme Salon,,Personal_Care,25316,Net Banking,False,50519,Yellow,Discretionary
TXN0022,2026-01-06 05:07:00,Apollo Pharmacy,,Healthcare,44683,Credit Card,False,94966,Orange,Necessary
TXN0023,2026-01-08 04:45:00,Coursera,,Education,19334,Net Banking,False,57485,Orange,Necessary
TXN0024,2026-01-23 18:46:00,TATA POWER,,Utilities,47264,Debit Card,True,35022,Red,Critical
TXN0025,2026-01-28 17:09:00,INOX Movies,,Entertainment,41974,Debit Card,False,67040,Yellow,Discretionary
TXN0026,2026-01-25 03:17:00,Spotify India,,Subscriptions,10687,UPI,True,71197,Yellow,Discretionary
TXN0027,2026-01-17 12:28:00,Udemy,,Education,1376,Credit Card,False,15162,Orange,Necessary
TXN0028,2026-01-04 14:01:00,Uber,,Commuting,15885,UPI,False,74864,Orange,Necessary
TXN0029,2026-01-06 17:21:00,UPI-UNKNOWN,,Miscellaneous,49946,Debit Card,False,70322,Yellow,Discretionary
TXN0030,2026-01-28 14:33:00,UPI-UNKNOWN,,Miscellaneous,17470,Net Banking,False,69663,Yellow,Discretionary
TXN0031,2026-01-19 03:48:00,LIC Premium Payment,,Insurance,46823,Credit Card,False,41357,Red,Critical
TXN0032,2026-01-11 05:25:00,Loan EMI,,Financial,8030,UPI,False,32993,Red,Critical
TXN0033,2026-01-11 11:20:00,Coursera,,Education,38655,Debit Card,False,73103,Orange,Necessary
TXN0034,2026-01-03 16:18:00,UPI-BSESRAJASTHAN@HDFC,,Utilities,46489,Debit Card,True,83219,Red,Critical
TXN0035,2026-01-24 09:35:00,UPI-ZOMATO-PAYMENTS@HDFC,,Dining,21754,Debit Card,False,9787,Yellow,Discretionary
TXN0036,2026-01-07 00:31:00,Fortis Hospital,,Healthcare,14140,Net Banking,False,71178,Orange,Necessary
TXN0037,2026-01-05 07:01:00,Ola,,Commuting,26777,UPI,False,25457,Orange,Necessary
TXN0038,2026-01-22 06:06:00,Urban Company,,Personal_Care,27859,UPI,False,54383,Yellow,Discretionary
TXN0039,2026-01-16 10:36:00,UPI-PVR@PAYTM,,Entertainment,26486,UPI,False,95948,Yellow,Discretionary
TXN0040,2026-01-21 10:00:00,Uber,,Commuting,12565,Debit Card,False,70792,Orange,Necessary
TXN0041,2026-01-12 08:51:00,Lakme Salon,,Personal_Care,18354,UPI,False,61137,Yellow,Discretionary
TXN0042,2026-01-25 14:27:00,Credit Card Bill,,Financial,3415,UPI,True,85977,Red,Critical
TXN0043,2026-01-23 02:26:00,UPI-ZOMATO-PAYMENTS@HDFC,,Dining,10999,Net Banking,False,53769,Yellow,Discretionary
TXN0044,2026-01-18 05:56:00,HDFC Life,,Insurance,3942,UPI,True,22079,Red,Critical
TXN0045,2026-01-20 06:02:00,Indian Oil,,Fuel,29919,Net Banking,False,37888,Orange,Necessary
TXN0046,2026-01-03 15:52:00,VPA-Netflix@PAYTM,,Subscriptions,19545,UPI,True,29034,Yellow,Discretionary
TXN0047,2026-01-22 16:46:00,Coursera,,Education,3386,Debit Card,False,77069,Orange,Necessary
TXN0048,2026-01-04 02:50:00,Reliance Fresh,,Groceries,5350,UPI,False,24856,Orange,Necessary
TXN0049,2026-01-12 04:55:00,Ola,,Commuting,7956,UPI,False,75168,Orange,Necessary
TXN0050,2026-01-26 17:22:00,UPI-SWIGGY@ICICI,,Dining,43181,Credit Card,False,77003,Yellow,Discretionary
TXN0051,2026-01-15 07:10:00,Apollo Pharmacy,,Healthcare,43991,Debit Card,False,94372,Orange,Necessary
TXN0052,2026-01-30 09:03:00,Fortis Hospital,,Healthcare,8677,Credit Card,False,88539,Orange,Necessary
TXN0053,2026-01-01 10:10:00,Loan EMI,,Financial,49374,Net Banking,False,10008,Red,Critical
TXN0054,2026-01-24 00:33:00,UPI-PVR@PAYTM,,Entertainment,35334,Credit Card,False,28438,Yellow,Discretionary
TXN0055,2026-01-17 19:37:00,Spotify India,,Subscriptions,4608,Credit Card,True,32518,Yellow,Discretionary
TXN0056,2026-01-14 18:25:00,SBI Home Loan,,Mortgage,35700,UPI,True,92714,Red,Critical
